ID;NPRO;DPRO;TVEH;ZDOC;REEM;CPRO;CORT;UBIC;STOC;PCUR;PEND;DIFE;FUEN;FUSA;BPCL;BPNC;PDUM;PDUA;FAM1;FAMI;NPRV;CADU
1;0000000017;CASETTE XR25 #17    	;17	;;;;1901;12-0203;2;0;0;0;1998-03-19;1998-04-28;249156;249156;134672.35;8625.73;1;930;11;187
2;0000020401;BVI.204-01          	;	;;;;1901;6-0407;1;0;0;0;1998-09-30;1998-09-30;19963;19963;0;0;1;930;11;307
3;0000021301;MOT.213-01          	;	;;;;1901;2-0901;1;0;0;0;1998-09-30;1998-09-30;75628;75628;0;0;1;930;11;307
4;0000021500;MANOM.25/B.BV.AD4.22	;22	;;;;1901;6-0408;1;0;0;0;1998-09-30;1998-09-30;3540;3540;0;0;1;930;11;307
5;0000023300;LLAVE REG.VAL. 21/63	;21/63;;;;1901;;3;0;0;0;1998-09-30;1998-09-30;41982;41982;0;0;1;930;11;301
6;0000023501;HERRAMIENTA       TT	;TT;;;;1901;;3;0;0;0;1998-09-30;1998-09-30;72038;72038;0;0;1;930;11;298
7;0000023600;EXTRACTOR TRANSMISOR	;;;;;1901;;3;0;0;0;1998-09-30;1998-09-30;24896;24896;0;0;1;930;11;301
8;0000025101;HERRAMIENTA KIT     	;TT;;;;1901;2-0906;32;0;0;0;1998-09-30;1998-09-30;15322;15322;0;0;1;930;11;307
9;0000025201;PLACA APOYO MOT.  TT	;TT;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;33465;33465;0;0;1;930;11;
10;0000028002;BARRA GATO       TT	;TT;;;;1901;26-0101;16;0;0;0;1998-06-08;1998-06-15;64487;64487;0;14618.98;1;930;11;
11;0000028406;LIAISON ET.RACOR.TT	;TT;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;24436;24436;0;0;1;930;11;307
12;0000031900;CENTRADOR DE DISCO	;;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;10579;10579;0;0;1;930;11;307
13;0000034400;ESPIGA D=6MM. 41/NG	;41/NG;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;11061;11061;0;0;1;930;11;298
14;0000034604;CONTROL TENS.CORR.TT	;TT;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;92308;92308;0;0;1;930;11;
15;0000036401;GANCHO RESORTE		;41;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;0;0;0;0;;930;11;307
16;0000037002;EXTRAC.RODAM.			;96/63;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;76541;76541;0;0;1;930;11;307
17;0000037100;CONCHA ADAPTABLE. 41	;41;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;33016;33016;0;0;1;930;11;307
18;0000044501;FAJA REPOCION STH. TT	;TT;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;1768;1768;0;0;1;930;11;
19;0000045100;PERNO /JUNT CAMARA	;;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;18944;18944;0;0;1;930;11;307
20;0000045301;MOT. 453				;;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;22736;22736;0;0;1;930;11;307
21;0000045407;CABLEADO MALETA		;63/75;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;0;0;0;0;;930;11;607
22;0000046500;H:REEMPLAZAR JUNT 41	;41;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;51460;51460;0;0;1;930;11;307
23;0000046606;TOMA PRES.OIL			;63/21;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;12923;12923;0;0;1;930;11;307
24;0000046607;BVI. 466-07			;;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;258562;258562;0;0;1;930;11;307
25;0000047500;RACHE 96				;96;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;30215;30215;0;0;1;930;11;307
26;0000048800;MONTA JTA.EMBRAG. NG	;NG;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;21088;21088;0;0;1;930;11;307
27;0000049400;LLAVE REG.DIF. 47/96	;47/96;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;37062;37062;0;0;1;930;11;307
28;0000049500;EXTRACTOR TENS CADEN	;;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;0;0;0;0;;930;11;
29;0000049800;GANCHO CAMISAS    47	;47;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;0;0;0;0;;930;11;307
30;0000050003;EXTRAC. ESTOPERA  47	;47;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;81198;81198;0;0;1;930;11;295
31;0000050300;MOT.503				;;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;17394;17394;0;0;1;930;11;307
32;0000050401;BLOQUEADOR VOLANT		;;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;126047;126047;0;0;1;930;11;307
33;0000050901;SOP. DESMONTAD.   41	;41;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;16437;16437;0;0;1;930;11;307
34;0000052401;INTERRUPTOR /PRUEBA.41;41;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;0;0;0;0;;930;11;562
35;0000052600;H.PROTECC MONTAR  41	;41;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;22453;22453;0;0;1;930;11;307
36;0000054300;EXTRAC.BISAGRA 63/75	;63/75;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;28178;28178;0;0;1;930;11;
37;0000055407;CONTROL CIRC.REFRIG.	;;;0000055405;;1901;16-0102;1;0;0;0;1998-08-03;1998-09-30;255744;255744;0;37685.43;1;930;11;
38;0000055600;ELC.556				;;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;20449;20449;0;0;1;930;11;307
39;0000056500;LLAVE MOTOR ARRAN. 96;96;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;35896;35896;0;0;1;930;11;301
40;0000056700;MOT.567;;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;18183;18183;0;0;1;930;11;307
41;0000057301;HERRAMIENTA       TT;TT;;0000057422;;1901;;0;0;0;0;1980-01-01;1980-01-01;22053;22053;0;0;1;930;11;295
42;0000057415;MOT.574-15        TT;TT;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;19458;19458;0;0;1;930;11;
43;0000057420;MALETA SUS/PISTO  TT;TT;;;;1901;26-0102;1;0;0;1;1997-07-22;1998-04-07;326700;326700;0;67866.46;1;930;11;
44;0000057422;HERRAMIENTA;TT;;0000057420;;1901;28-0202;2;0;0;1;1998-08-03;1998-10-27;299579;299579;0;78511.12;1;930;11;
45;0000058000;MASA DE INERCIA   TT;TT;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;88907;88907;0;0;1;930;11;307
46;0000058200;MOT.582;TT;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;6934;6934;0;0;1;930;11;307
47;0000058300;PINZA P/MANGURAS  TT;TT;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;19035;19035;0;0;1;930;11;307
48;0000058700;HERRAMIENTA       TT;TT;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;20457;20457;0;0;1;930;11;295
49;0000058800;BRIDA CAMISA   63/21;21;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;31628;31628;0;0;1;930;11;
50;0000059104;LLAVE ANGULAR CUL 19;19;;;;1901;6-0407;1;0;0;0;1998-08-03;1998-09-30;81081;81081;0;20716.12;1;930;11;
51;0000060100;T.AV 601;;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;60688;60688;0;0;1;930;11;307
52;0000060300;SOP. DESM. TRANS. 75;75;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;23749;23749;0;0;1;930;11;307
53;0000060400;INMOVILIZADOR BUJ 47;47;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;0;0;0;0;;930;11;307
54;0000060600;JGO.ESPIGA PAS.75/NG;NG;;;;1931;;0;0;0;0;1980-01-01;1980-01-01;28115;22492;5623;0;0.8;930;11;307
55;0000064500;LLAVE REGLAJE;;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;22213;22213;0;0;1;930;11;307
56;0000064700;LLAVE PARA VALV.  TT;TT;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;25502;25502;0;0;1;930;11;
57;0000065800;GUIA STOP.CIGUEÑ. 75;75;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;11916;11916;0;0;1;930;11;295
58;0000066002;GALVANOMETRO;;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;0;0;0;0;;781;11;781
59;0000066003;HERRAMIENTA       TT;TT;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;0;0;0;0;;930;11;607
60;0000066004;PINZA CAPTADORA;;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;0;0;0;0;;930;11;307
61;0000066600;HERRAMIENTA       75;75;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;12949;12949;0;0;1;930;11;307
62;0000070400;LLAVE COJINT TORS;;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;75941;75941;0;0;1;930;11;307
63;0000070500;JGO.PTAS.TORX 10/20;20;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;0;0;0;0;;930;11;
64;0000070592;HERRAMIENTA       21;21;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;0;0;0;0;;930;11;307
65;0000072100;HERRAMIENTA       TT;TT;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;77464;77464;0;0;1;930;11;298
66;0000072101;COMPLEMENTO ELE- 7.21;21;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;14952;14952;0;0;1;930;11;302
67;0000073100;TENSOR B.ESTABIL.DEL;;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;0;0;0;0;;930;11;307
68;0000073200;EXTRAC.RODAM.  96/63;63;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;43470;43470;0;0;1;930;11;307
69;0000073701;EXTRACT.ESTOPERA;;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;17937;17937;0;0;1;930;11;307
70;0000075502;HERRAMIENTA       11;11;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;365.25;365.25;0;0;1;930;11;307
71;0000076100;EXTRAC.TENSOR CAD 47;47;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;23235;23235;0;0;1;930;11;307
72;0000078601;CENTRA DISCO   41/63;63;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;13543;13543;0;0;1;930;11;307
73;0000078800;UTIL MONTA JTA. 63/21;63/21;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;0;0;0;0;;930;11;307
74;0000078900;UTIL MONTA JTA. 63/21;63/21;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;17799;17799;0;0;1;930;11;
75;0000079000;SUST.COJINETES 63/21;63/21;;;;1901;;0;0;0;0;1980-01-01;1980-01-01;0;0;0;0;;930;11;307
