ID;Nombre;Pr;Vehicle Type;Motor;Engine Index;Engine Type;Gearbox Type
1;Logan Sandero I;0601;BS00;K9K790;K9K790;K9K;JH3
2;Logan Sandero I;0601;BS01;D4F732;D4F732;D4F;JH3
3;Logan Sandero I;0601;BS02;D4F734;D4F734;D4F;JH3
4;Logan Sandero I;0601;BS03;K7M800;K7M800;K7M;JH3
5;Logan Sandero I;0601;BS03;K7M818;K7M818;K7M;JH3
6;Logan Sandero I;0601;BS04;K9K892;K9K892;K9K;JR5
7;Logan Sandero I;0601;BS09;K4M694;K4M694;K4M;JH3
8;Logan Sandero I;0601;BS0A;K7J710;K7J710;K7J;JH3
9;Logan Sandero I;0601;BS0A;K7J710;K7J710;K7J;JH1
10;Logan Sandero I;0601;BS0B;K7M710;K7M710;K7M;JH3
11;Logan Sandero I;0601;BS0C;K7J710;K7J710;K7J;JH3
12;Logan Sandero I;0601;BS0C;K7J710;K7J710;K7J;JH1
13;Logan Sandero I;0601;BS0C;K7J714;K7J714;K7J;JH1
14;Logan Sandero I;0601;BS0D;K7M710;K7M710;K7M;JH3
15;Logan Sandero I;0601;BS0D;K7M710;K7M710;K7M;JR5
16;Logan Sandero I;0601;BS0D;K7M718;K7M718;K7M;JH3
17;Logan Sandero I;0601;BS0E;K7J710;K7J710;K7J;JH1
18;Logan Sandero I;0601;BS0E;K7J714;K7J714;K7J;JH3
19;Logan Sandero I;0601;BS0E;K7J714;K7J714;K7J;JH1
20;Logan Sandero I;0601;BS0F;K7M710;K7M710;K7M;JH3
21;Logan Sandero I;0601;BS0F;K7M718;K7M718;K7M;JH3
22;Logan Sandero I;0601;BS0G;K7J710;K7J710;K7J;JH1
23;Logan Sandero I;0601;BS0H;K7M710;K7M710;K7M;JH3
24;Logan Sandero I;0601;BS0J;K9K790;K9K790;K9K;JH3
25;Logan Sandero I;0601;BS0K;K9K792;K9K792;K9K;JH3
26;Logan Sandero I;0601;BS0K;K9K792;K9K792;K9K;JR5
27;Logan Sandero I;0601;BS0L;K4M690;K4M690;K4M;JH3
28;Logan Sandero I;0601;BS0L;K4M697;K4M697;K4M;DP0
29;Logan Sandero I;0601;BS0M;K4M690;K4M690;K4M;JH3
30;Logan Sandero I;0601;BS0M;K4M697;K4M697;K4M;DP0
31;Logan Sandero I;0601;BS0P;K4M690;K4M690;K4M;JH3
32;Logan Sandero I;0601;BS0R;D4D760;D4D760;D4D;JH3
33;Logan Sandero I;0601;BS0T;K7M714;K7M714;K7M;JH3
34;Logan Sandero I;0601;BS0V;K4M694;K4M694;K4M;JH3
35;Logan Sandero I;0601;BS0W;K9K796;K9K796;K9K;JR5
36;Logan Sandero I;0601;BS0Y;K9K790;K9K790;K9K;JH3
37;Logan Sandero I;0601;BS11;K7M710;K7M710;K7M;JR5
38;Logan Sandero I;0601;BS11;K7M710;K7M710;K7M;JH3
39;Logan Sandero I;0601;BS12;K7J710;K7J710;K7J;JH3
40;Logan Sandero I;0601;BS16;K7M764;K7M764;K7M;JH3
41;Logan Sandero I;0601;BS1A;K7M714;K7M714;K7M;JH3
42;Logan Sandero I;0601;BS1E;K7M710;K7M710;K7M;JH3
43;Logan Sandero I;0601;BS1F;K7J710;K7J710;K7J;JH3
44;Logan Sandero I;0601;BS1G;D4D760;D4D760;D4D;JH3
45;Logan Sandero I;0601;BS1H;K7M732;K7M732;K7M;JH3
46;Logan Sandero I;0601;BS1L;K9K892;K9K892;K9K;JR5
47;Logan Sandero I;0601;BS1N;D4F732;D4F732;D4F;JH3
48;Logan Sandero I;0601;BS1P;K4M690;K4M690;K4M;JH3
49;Logan Sandero I;0601;BS1P;K4M697;K4M697;K4M;DP0
50;Logan Sandero I;0601;BS1R;D4D760;D4D760;D4D;JH3
