id,NPRO,DPRO,TVEH,CORT,REEM,UBIC,STOC,PCUR,PEND,DIFE,FUEN,FUSA,ZDOC,BPCL,PDUM,PDUA,BPNC,CPRO,FAM1,FAMI,NPRV,CADU,VTPR,VT00,VT01,VT02,VT03,VT04,VT05,VT06,VT07,VT08,VT09,VT10,VT11,VT12,VT13,VT14,VT15,VT16,VT17,VT18,VT19,VT20,VT21,VT22,VT23,VT24
1,17,CASETTE XR25 #17,,1901,,12-0203,2,0,0,0,1998-03-19,1998-04-28,,249156.00,134672.35,8625.73,249156.00,,,930,11,187,0.54,0,0,0,0,0,0,0,0,1,-1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,20401,BVI.204-01,,1901,,,1,0,0,0,1998-09-30,1998-09-30,,19963.00,0.00,0.00,19963.00,,,930,11,307,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,21301,MOT.213-01,,1901,,,1,0,0,0,1998-09-30,1998-09-30,,75628.00,0.00,0.00,75628.00,,,930,11,307,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,21500,MANOM.25/B.BV.AD4.22,,1901,,,1,0,0,0,1998-09-30,1998-09-30,,0.00,0.00,0.00,0.00,,,930,11,307,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,23300,LLAVE REG.VAL.21/63,,1901,,,3,0,0,0,1998-09-30,1998-09-30,,41982.00,0.00,0.00,41982.00,,,930,11,301,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,23501,HERRAMIENTA       TT,TT,1901,,,3,0,0,0,1998-09-30,1998-09-30,,72038.00,0.00,0.00,72038.00,,,930,11,298,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,23600,EXTRACTOR TRANSMISOR,,1901,,,3,0,0,0,1998-09-30,1998-09-30,,24896.00,0.00,0.00,24896.00,,,930,11,301,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,25101,HERRAMIENTA,TT,1901,,2-0906,32,0,0,0,1998-09-30,1998-09-30,,15322.00,0.00,0.00,15322.00,,,930,11,307,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,25201,PLACA APOYO MOT.  TT,TT,1901,,,0,0,0,0,0000-00-00,0000-00-00,,33465.00,0.00,0.00,33465.00,,,930,11,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,28002,BARRA GATO       TT,TT,1901,,26-0101,16,0,0,0,1998-06-08,1998-06-15,,64487.00,37631.69,14618.98,64487.00,,,930,11,,0.04,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,28406,LIAISON ET.RACOR. TT,TT,1901,,,0,0,0,0,0000-00-00,0000-00-00,,24436.00,0.00,0.00,24436.00,,,930,11,307,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,31900,CENTRADOR DE DISCO,,1901,,,0,0,0,0,0000-00-00,0000-00-00,,10579.00,0.00,0.00,10579.00,,,930,11,307,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,34400,ESPIGA D=6MM. 41/NG,41/NG,1901,,,0,0,0,0,0000-00-00,0000-00-00,,11061.00,0.00,0.00,11061.00,,,930,11,298,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,34604,CONTROL TENS.CORR.TT,,1901,,,0,0,0,0,0000-00-00,0000-00-00,,92308.00,0.00,0.00,92308.00,,,930,11,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,36401,GANCHO RESORTE,41,1901,,,0,0,0,0,0000-00-00,0000-00-00,,0.00,0.00,0.00,0.00,,,930,11,307,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,37002,EXTRAC.RODAM.  ,96/63,1901,,,0,0,0,0,0000-00-00,0000-00-00,,76541.00,0.00,0.00,76541.00,,,930,11,307,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,37100,CONCHA ADAPTABLE  41,41,1901,,,0,0,0,0,0000-00-00,0000-00-00,,33016.00,0.00,0.00,33016.00,,,930,11,307,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
