ID;NPRO;DPRO;TVEH;CORT;REEM;UBIC;STOC;PCUR;PEND;DIFE;FUEN;FUSA;ZDOC;BPCL;PDUM;PDUA;BPNC;CPRO;FAM1;FAMI;NPRV;CADU
1;17;CASETTE XR25 #17;;1901;;120203;2;0;0;0;1998-03-19;1998-04-28;;249156;13467235;862573;249156;;;930;11;187
2;20401;BVI.204-01;;1901;;0;0;0;0;0;;;;19963;0;0;19963;;;930;11;307
3;21301;MOT.213-01;;1901;;0;0;0;0;0;;;;75628;0;0;75628;;;930;11;307
4;21500;MANOM.25/B.BV.AD4.22;;1901;;0;0;0;0;0;;;;0;0;0;0;;;930;11;307
5;23300;LLAVE REG.VAL.21/63;;1901;;0;0;0;0;0;;;;41982;0;0;41982;;;930;11;301
6;23501;HERRAMIENTA       TT;;1901;;0;0;0;0;0;;;;72038;0;0;72038;;;930;11;298
7;23600;EXTRACTOR TRANSMISOR;;1901;;0;0;0;0;0;;;;24896;0;0;24896;;;930;11;301
8;25101;HERRAMIENTA       TT;;1901;;0;0;0;0;0;;;;15322;0;0;15322;;;930;11;307
9;25201;PLACA APOYO MOT.  TT;;1901;;0;0;0;0;0;;;;33465;0;0;33465;;;930;11;
10;28002;BARRA GATO       TT;;1901;;260101;16;0;0;0;1998-06-08;1998-06-15;;64487;3763169;1461898;64487;;;930;11;
11;28406;LIAISON ET.RACOR. TT;;1901;;0;0;0;0;0;;;;24436;0;0;24436;;;930;11;307
12;31900;CENTRADOR DE DISCO;;1901;;0;0;0;0;0;;;;10579;0;0;10579;;;930;11;307
13;34400;ESPIGA D=6MM. 41/NG;;1901;;0;0;0;0;0;;;;11061;0;0;11061;;;930;11;298
14;34604;CONTROL TENS.CORR.TT;;1901;;0;0;0;0;0;;;;92308;0;0;92308;;;930;11;
15;36401;GANCHO RESORTE    41;;1901;;0;0;0;0;0;;;;0;0;0;0;;;930;11;307
16;37002;EXTRAC.RODAM.  96/63;;1901;;0;0;0;0;0;;;;76541;0;0;76541;;;930;11;307
17;37100;CONCHA ADAPTABLE  41;;1901;;0;0;0;0;0;;;;33016;0;0;33016;;;930;11;307
18;44501;FAJA REPOCION STH.TT;;1901;;0;0;0;0;0;;;;1768;0;0;1768;;;930;11;
19;45100;PERNO /JUNT CAMARA;;1901;;0;0;0;0;0;;;;18944;0;0;18944;;;930;11;307
20;45301;MOT.453;;1901;;0;0;0;0;0;;;;22736;0;0;22736;;;930;11;307
21;45407;CABLEADO MALETA63/75;;1901;;0;0;0;0;0;;;;0;0;0;0;;;930;11;607
22;46500;H:REEMPLAZAR JUNT 41;;1901;;0;0;0;0;0;;;;51460;0;0;51460;;;930;11;307
23;46606;TOMA PRES.OIL 63/21;;1901;;0;0;0;0;0;;;;12923;0;0;12923;;;930;11;307
